Week_Start_Date,Units_Sold,Unit_Price_PKR,Promotion_Flag,Notes
2024-01-01,981262,39.98,0,
2024-01-08,950967,40.06,0,
2024-01-15,1165637,40.28,1,Promotion week (+16% lift)
2024-01-22,1291585,40.03,1,Promotion week (+21% lift)
2024-01-29,975603,40.04,0,
2024-02-05,989319,39.99,0,
2024-02-12,1115451,39.71,0,
2024-02-19,1083468,40.0,0,
2024-02-26,1127671,40.01,1,Promotion week (+10% lift)
2024-03-04,1153804,40.37,0,
2024-03-11,1438057,39.97,0,Eid al-Fitr / Ramadan peak
2024-03-18,1464158,40.05,0,Eid al-Fitr / Ramadan peak
2024-03-25,1555737,39.99,0,Eid al-Fitr / Ramadan peak
2024-04-01,1381356,39.82,0,Eid al-Fitr / Ramadan peak
2024-04-08,1422702,40.17,0,Eid al-Fitr / Ramadan peak
2024-04-15,1198505,40.11,0,
2024-04-22,1595184,40.12,1,Promotion week (+35% lift)
2024-04-29,1300455,39.86,0,
2024-05-06,1221905,40.21,0,
2024-05-13,1195828,39.79,0,
2024-05-20,1434871,40.09,0,
2024-05-27,1311183,40.33,0,
2024-06-03,1342725,39.85,0,
2024-06-10,1351151,39.92,0,Eid al-Adha bump
2024-06-17,1432890,40.01,0,Eid al-Adha bump
2024-06-24,1356662,39.92,0,
2024-07-01,1253398,39.77,0,
2024-07-08,1372968,40.01,0,
2024-07-15,1288556,39.84,0,
2024-07-22,1246562,40.07,0,Monsoon disruption (distribution delay)
2024-07-29,1270743,41.86,0,Price increase to ~PKR 42.0
2024-08-05,1348244,42.23,0,Monsoon disruption (distribution delay)
2024-08-12,1291336,41.88,0,
2024-08-19,1196015,41.95,0,
2024-08-26,1264602,42.12,0,Monsoon disruption (distribution delay)
2024-09-02,1151876,41.82,0,
2024-09-09,1239977,42.03,0,
2024-09-16,1064111,42.2,0,
2024-09-23,1092429,41.76,0,
2024-09-30,1182092,42.03,0,
2024-10-07,1200951,42.04,0,
2024-10-14,1144068,42.12,0,
2024-10-21,1108109,41.81,0,
2024-10-28,1080658,41.8,0,
2024-11-04,1135253,42.08,1,Promotion week (+15% lift)
2024-11-11,1028245,42.04,0,
2024-11-18,1035094,42.04,0,
2024-11-25,1123478,42.05,0,
2024-12-02,1215020,41.9,1,Promotion week (+18% lift)
2024-12-09,898978,42.03,0,
2024-12-16,1023866,42.04,0,
2024-12-23,1340201,41.89,1,Promotion week (+36% lift)
2024-12-30,968469,42.28,0,
2025-01-06,1051954,42.07,0,
2025-01-13,1086033,41.82,0,
2025-01-20,1366621,42.1,1,Promotion week (+25% lift)
2025-01-27,992696,41.85,0,
2025-02-03,1039909,42.12,0,
2025-02-10,1096912,42.17,0,
2025-02-17,1157005,41.88,0,
2025-02-24,1079847,42.14,0,
2025-03-03,1515357,42.06,0,Eid al-Fitr / Ramadan peak
2025-03-10,1456752,42.12,0,Eid al-Fitr / Ramadan peak
2025-03-17,1474861,42.28,0,Eid al-Fitr / Ramadan peak
2025-03-24,1696628,41.96,0,Eid al-Fitr / Ramadan peak
2025-03-31,1780498,41.89,0,Eid al-Fitr / Ramadan peak
2025-04-07,1282719,41.87,0,
2025-04-14,1388180,41.88,0,
2025-04-21,1358279,41.99,0,
2025-04-28,1296095,42.05,0,
2025-05-05,1395251,45.04,0,Price increase to ~PKR 45.0
2025-05-12,1508728,45.12,0,
2025-05-19,1391946,45.0,0,
2025-05-26,1538542,45.22,0,
2025-06-02,1312568,44.96,0,Eid al-Adha bump
2025-06-09,1642108,45.41,0,Eid al-Adha bump
2025-06-16,1434524,45.09,0,
2025-06-23,1403308,44.87,0,
2025-06-30,1436137,44.84,0,
2025-07-07,1189552,45.07,0,Monsoon disruption (distribution delay)
2025-07-14,1896792,44.97,1,Promotion week (+35% lift)
2025-07-21,1441675,45.11,0,
2025-07-28,1525446,45.07,0,
2025-08-04,1345707,44.99,0,
2025-08-11,1308039,44.87,0,
2025-08-18,1702739,44.77,1,Promotion week (+29% lift)
2025-08-25,1361577,44.93,0,Monsoon disruption (distribution delay)
2025-09-01,1349433,45.13,0,
2025-09-08,1669925,45.03,1,Promotion week (+32% lift)
2025-09-15,1323922,44.81,0,
2025-09-22,1271730,45.03,0,
2025-09-29,1316752,45.06,0,
2025-10-06,1173270,44.87,0,
2025-10-13,1182273,45.02,0,
2025-10-20,1160126,45.01,0,
2025-10-27,1068568,46.83,0,Price increase to ~PKR 47.0
2025-11-03,1326847,47.05,1,Promotion week (+13% lift)
2025-11-10,1465411,47.08,1,Promotion week (+26% lift)
2025-11-17,1131948,47.16,0,
2025-11-24,1106619,47.16,0,
2025-12-01,980000,46.79,0,
2025-12-08,1039816,46.86,0,
2025-12-15,1043083,47.08,0,
2025-12-22,1014426,47.08,0,
